,video_id,video_title,channel_name
106,FiZqn6fV-4Y,Hidden miracles of the natural world | Louie Schwartzberg,TED
107,aISXCw0Pi94,Molly Wright: How every child can thrive by five | TED,TED
108,qaIghx4QRN4,Where are all the aliens? | Stephen Webb,TED
109,F89eycANUrQ,"How I learned to read -- and trade stocks -- in prison | Curtis ""Wall Street"" Carroll",TED
110,d6wG_sAdP0U,How I hacked online dating | Amy Webb,TED
111,cSohjlYQI2A,5 ways to listen better | Julian Treasure,TED
112,u1K6hnm09xs,Making peace is a marathon | May El-Khalil,TED
113,ON4iy8hq2hM,The difference between healthy and unhealthy love | Katie Hood,TED
114,c0Z7KeNCi7g,"Homeopathy, quackery and fraud | James Randi",TED
115,V1yW5IsnSjo,Why domestic violence victims don't leave | Leslie Morgan Steiner,TED
116,vhhgI4tSMwc,Why 30 is not the new 20 | Meg Jay,TED
117,FETryXMpDl8,What Islam really says about women | Alaa Murabit,TED
118,pzN4WGPC4kc,How the mysterious dark net is going mainstream | Jamie Bartlett,TED
119,sa1iS1MqUy4,"""To This Day"" ... for the bullied and beautiful | Shane Koyczan",TED
120,3VTsIju1dLI,How craving attention makes you less creative | Joseph Gordon-Levitt,TED
121,QijH4UAqGD8,Get comfortable with being uncomfortable | Luvvie Ajayi Jones,TED
122,fLJsdqxnZb0,The happy secret to better work | Shawn Achor,TED
123,IgKWPdJWuBQ,"The mind behind Tesla, SpaceX, SolarCity ... | Elon Musk",TED
124,nzj7Wg4DAbs,Why humans run the world | Yuval Noah Harari,TED
125,LjAsM1vAhW0,Peter van Uhm: Why I chose a gun,TED
126,Y8u42OjH0ss,What you don't know about marriage | Jenna McCarthy,TED
127,5J6jAC6XxAI,Why you should define your fears instead of your goals | Tim Ferriss,TED
128,18uDutylDa4,Why we have too few women leaders | Sheryl Sandberg,TED
129,6weGCM3sWKc,This is what it's like to go undercover in North Korea | Suki Kim,TED
130,YyXRYgjQXX0,Are you a giver or a taker? | Adam Grant,TED
131,8nt3edWLgIg,Can we build AI without losing control over it? | Sam Harris,TED
132,Fg_JcKSHUtQ,A robot that flies like a bird | Markus Fischer,TED
133,Gz8RlHf3Czs,Nicole Paris and Ed Cage: A beatboxing lesson from a father-daughter duo | TED,TED
134,7Lc_dlVrg5M,This country isn't just carbon neutral — it's carbon negative | Tshering Tobgay,TED
135,H3TF-hI7zKc,How sampling transformed music | Mark Ronson,TED
136,iIwbuS526PI,A young guitarist meets his hero | Usman Riaz and Preston Reed,TED
137,yVwAodrjZMY,How we take back the internet | Edward Snowden,TED
138,BIvezCVcsYs,How to take a picture of a black hole | Katie Bouman,TED
139,lyR-K2CZIHQ,I am the son of a terrorist. Here's how I chose peace | Zak Ebrahim,TED
140,ueOqYebVhtc,How movies teach manhood | Colin Stokes,TED
141,Cetg4gu0oQQ,"Why I'm done trying to be ""man enough"" | Justin Baldoni",TED
142,CyElHdaqkjo,How to Raise Successful Kids -- Without Over-Parenting | Julie Lythcott-Haims | TED,TED
143,UtBsl3j0YRQ,Want to be happy? Be grateful | David Steindl-Rast,TED
144,Y6bbMQXQ180,"Secrets of success in 8 words, 3 minutes | Richard St. John",TED
145,Y_9vd4HWlVA,Imaging at a trillion frames per second | Ramesh Raskar,TED
146,xuAAPsiD768,The secret US prisons you've never heard of before | Will Potter,TED
147,AO4In7d6X-c,"Meet Spot, the robot dog that can run, hop and open doors | Marc Raibert",TED
148,troxvPRmZm8,Learn to read Chinese ... with ease! | ShaoLan,TED
149,DESCcjSQSKY,A cleanse won't detox your body -- but here's what will | Body Stuff with Dr. Jen Gunter,TED
150,1_oa8m5Oq00,Close-up card magic with a twist | Lennart Green,TED
151,c0bsKc4tiuY,Why you should make useless things | Simone Giertz,TED
152,kK_UjBmHqQw,"Magical houses, made of bamboo | Elora Hardy",TED
153,pvBlSFVmoaw,Electrical experiments with plants that count and communicate | Greg Gage,TED
154,twG4mr6Jov0,What You Can Do to Prevent Alzheimer's | Lisa Genova | TED,TED
155,9vpqilhW9uI,Why our IQ levels are higher than our grandparents' | James Flynn,TED
156,mf5otGNbkuc,Optical illusions show how we see | Beau Lotto,TED
157,6ibCtsHgz3Y,How books can open your mind | Lisa Bu,TED
158,ZMGZQZRIsJE,"The violin, and my dark night of the soul | Ji-Hae Park",TED
159,8XQ1onjXJK0,Are China and the US doomed to conflict? | Kevin Rudd,TED
160,uyMtsyzXWd4,Inside the black hole image that made history | Sheperd Doeleman,TED
161,8T_jwq9ph8k,Why people believe weird things | Michael Shermer,TED
162,aSL-iIskEFU,Why giving away our wealth has been the most satisfying thing we've done... | Bill and Melinda Gates,TED
163,wAIP6fI0NAI,How one tweet can ruin your life | Jon Ronson,TED
164,ZL-6MeYBeUs,What I learned as a prisoner in North Korea | Euna Lee,TED
165,RiM5a-vaNkg,How the worst moments in our lives make us who we are | Andrew Solomon,TED
166,TGZMSmcuiXM,Sebastian Junger: Why veterans miss war,TED
167,Sm5xF-UYgdg,How not to be ignorant about the world | Hans and Ola Rosling,TED
168,YtdE662eY_M,Making sense of string theory | Brian Greene,TED
169,HYzrdn7YLCM,Lessons from death row inmates | David R. Dow,TED
170,LWULB9Aoopc,Why do we sleep? | Russell Foster,TED
171,90mj79GqWhc,"Billy Graham: Technology, faith and human shortcomings",TED
172,xsEJ6GeAGb0,What's normal anxiety -- and what's an anxiety disorder? | Body Stuff with Dr. Jen Gunter,TED
173,VxGMqKCcN6A,Militant atheism | Richard Dawkins,TED
174,vbLEf4HR74E,The habits of happiness | Matthieu Ricard,TED
175,8nbeD1mwCdo,What's hidden under the Greenland ice sheet? | Kristin Poinar,TED
176,OsFEV35tWsg,The psychology of evil | Philip Zimbardo,TED
177,gyPoqFcvt9w,Our story of rape and reconciliation | Thordis Elva and Tom Stranger,TED
178,-FOCpMAww28,TED's secret to great public speaking | Chris Anderson,TED
179,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,TED
180,MnT1xgZgkpk,What happens when our computers get smarter than we are? | Nick Bostrom,TED
181,KxDwieKpawg,Andrew Stanton: The clues to a great story,TED
182,XewnyUJgyA4,Is war between China and the US inevitable? | Graham Allison,TED
183,UMhLBPPtlrY,Peter Attia: What if we're wrong about diabetes?,TED
184,3GVO-MfIl1Q,Rodney Mullen: Pop an ollie and innovate!,TED
185,OlLFK8oSNEM,What a driverless world could look like | Wanis Kabbaj,TED
186,U5kIdtMJGc8,The mathematician who cracked Wall Street | Jim Simons,TED
187,81Ub0SMxZQo,Bill Gates: Teachers need real feedback,TED
188,A_xXC37CDSw,I don't want children -- stop telling me I'll change my mind | Christen Reighter,TED
189,O_MQr4lHm0c,How changing your story can change your life | Lori Gottlieb,TED
190,IU3V6zNER4g,How to truly listen | Evelyn Glennie,TED
191,0MM-psvqiG8,The difference between winning and succeeding | John Wooden,TED
192,th3KE_H27bs,The dirty secret of capitalism -- and a new way forward | Nick Hanauer,TED
193,zAFcV7zuUDA,How to tie your shoes | Terry Moore,TED
194,ihR9SX7dgRo,What if 3D printing was 100x faster? | Joseph DeSimone,TED
195,RplnSVTzvnU,How the blockchain will radically transform the economy | Bettina Warburg,TED
